ID,X,Y,N,A,Ap,Ar,He,Ho,FIS,NS_ex0pct,NS_ex2pct,NS_ex5pct,NS_ex10pct
Indiv_108,4973.913043,13321.73913,73,4.6,0.978723404,4.288925752,0.62435,0.61525,0.01655,99,77,90.8,86.3
Indiv_109,4973.913043,12278.26087,70,4.6,0.978723404,4.283878452,0.62135,0.6208,0.003,105,86.1,92.9,90.1
Indiv_110,4973.913043,11234.78261,55,4.6,0.978723404,4.313792119,0.6187,0.59905,0.03785,66.4,51.6,47.5,55.9
Indiv_111,4973.913043,10191.30435,66,4.55,0.968085106,4.30642833,0.61945,0.60985,0.0187,57.6,48.6,46.1,51.5
Indiv_112,4973.913043,9147.826087,63,4.55,0.968085106,4.295204762,0.61955,0.6095,0.02105,62.3,52,48.3,56.7
Indiv_113,4973.913043,8104.347826,40,4.45,0.946808511,4.280980549,0.6176,0.58375,0.0605,34.8,26.9,25.2,31.2
Indiv_114,4973.913043,7060.869565,45,4.5,0.957446809,4.290183891,0.6237,0.6145,0.01885,31.1,28.6,28.7,30.7
Indiv_115,4973.913043,6017.391304,28,4.25,0.904255319,4.170508975,0.6173,0.60885,0.0204,28.7,24.5,24.5,28.7
Indiv_116,4973.913043,4973.913043,24,4.1,0.872340426,4.045987139,0.5989,0.6021,-0.01245,27.1,18.7,21.4,27.1
Indiv_117,4973.913043,3930.434783,26,4.05,0.861702128,3.967947794,0.6064,0.59995,0.0047,44.9,29.2,24.8,35.6
Indiv_118,4973.913043,2886.956522,19,,,,,,,,,,
Indiv_119,4973.913043,1843.478261,11,,,,,,,,,,
Indiv_120,4973.913043,800,7,,,,,,,,,,
Indiv_121,6017.391304,24800,53,4.5,0.957446809,4.217585585,0.5975,0.6086,-0.01975,53.6,46.4,42.2,49.1
Indiv_122,6017.391304,23756.52174,52,4.45,0.946808511,4.179397,0.5982,0.58945,0.0114,45.8,37.1,31.7,41.7
Indiv_123,6017.391304,22713.04348,85,4.65,0.989361702,4.273851301,0.6116,0.607,0.0013,49.2,44.4,44,44.4
Indiv_124,6017.391304,21669.56522,72,4.55,0.968085106,4.246229903,0.6117,0.6118,-0.0069,51.3,47.4,49.2,46.3
Indiv_125,6017.391304,20626.08696,41,4.4,0.936170213,4.203120593,0.60445,0.5854,0.026,48.4,45.7,34.9,46.9
Indiv_126,6017.391304,19582.6087,9,,,,,,,,,,
Indiv_127,6017.391304,18539.13043,9,,,,,,,,,,
Indiv_128,6017.391304,17495.65217,16,,,,,,,,,,
Indiv_129,6017.391304,16452.17391,57,4.5,0.957446809,4.226311786,0.6188,0.6053,0.0264,91.9,68.1,63.3,82.5
Indiv_130,6017.391304,15408.69565,89,4.55,0.968085106,4.256540461,0.6233,0.6074,0.0266,99,75.4,71,86.6
Indiv_131,6017.391304,14365.21739,97,4.65,0.989361702,4.271516528,0.62395,0.60985,0.02225,116.2,86.6,81.2,99
Indiv_132,6017.391304,13321.73913,78,4.6,0.978723404,4.273684678,0.6238,0.61665,0.01285,112.6,87.3,81.1,90
Indiv_133,6017.391304,12278.26087,94,4.7,1,4.297304654,0.6242,0.6181,0.0084,104.2,95.1,94,93.1
Indiv_134,6017.391304,11234.78261,83,4.65,0.989361702,4.286909216,0.6204,0.6109,0.0138,99.7,88.1,106,91.2
Indiv_135,6017.391304,10191.30435,80,4.7,1,4.318453057,0.61925,0.6082,0.01665,81.4,80,80.6,75.7
Indiv_136,6017.391304,9147.826087,62,4.6,0.978723404,4.288284616,0.62135,0.60085,0.04375,77.8,71.6,74.4,66.7
Indiv_137,6017.391304,8104.347826,55,4.55,0.968085106,4.256300847,0.6216,0.5999,0.04565,49.6,47,48.7,47.9
Indiv_138,6017.391304,7060.869565,56,4.55,0.968085106,4.267733352,0.6257,0.6134,0.02585,41.9,44.8,63.2,44
Indiv_139,6017.391304,6017.391304,42,4.25,0.904255319,4.112558806,0.6189,0.612,0.015,44.6,44.6,42.7,44.7
Indiv_140,6017.391304,4973.913043,39,4.15,0.882978723,4.037426965,0.6085,0.58725,0.038,44.6,50.7,45.4,52.3
Indiv_141,6017.391304,3930.434783,35,4.3,0.914893617,4.15433048,0.614,0.597,0.02665,48.9,44.7,41.9,50.6
Indiv_142,6017.391304,2886.956522,35,4.2,0.893617021,4.091031129,0.61585,0.61005,0.00855,35.6,33,28.1,35.9
Indiv_143,6017.391304,1843.478261,19,,,,,,,,,,
Indiv_144,6017.391304,800,9,,,,,,,,,,
Indiv_145,7060.869565,24800,75,4.65,0.989361702,4.329396623,0.6129,0.6141,-0.00865,77.3,72.5,82.8,69.9
Indiv_146,7060.869565,23756.52174,66,4.6,0.978723404,4.314402895,0.61025,0.60835,-0.0026,64.1,60.9,57.4,56.9
Indiv_147,7060.869565,22713.04348,102,4.65,0.989361702,4.311480713,0.6173,0.61865,-0.00635,68.7,66.1,61.8,62.8
Indiv_148,7060.869565,21669.56522,108,4.65,0.989361702,4.30714048,0.61905,0.6222,-0.00815,78.4,76.3,77.2,72
Indiv_149,7060.869565,20626.08696,79,4.6,0.978723404,4.298661517,0.6153,0.6114,0.00335,58,54.9,52.1,53.5
Indiv_150,7060.869565,19582.6087,39,4.4,0.936170213,4.276846908,0.61115,0.60775,-0.00395,67.1,59.1,47.8,64.7
Indiv_151,7060.869565,18539.13043,45,4.45,0.946808511,4.257774313,0.62695,0.6256,-0.00305,151,124.6,113.4,144.7
Indiv_152,7060.869565,17495.65217,71,4.6,0.978723404,4.258552487,0.6243,0.6275,-0.0088,138.4,92.7,90.2,115.4
Indiv_153,7060.869565,16452.17391,84,4.6,0.978723404,4.264210896,0.6241,0.6143,0.0153,133.8,98.9,100.9,114.5
Indiv_154,7060.869565,15408.69565,104,4.6,0.978723404,4.277881466,0.62135,0.61575,0.0106,120.6,100.6,90.4,108.2
Indiv_155,7060.869565,14365.21739,114,4.65,0.989361702,4.285223359,0.6211,0.6157,0.00895,119.8,96,89.6,105.4
Indiv_156,7060.869565,13321.73913,91,4.6,0.978723404,4.257625397,0.6221,0.61575,0.01015,103.2,78.3,78,88.1
Indiv_157,7060.869565,12278.26087,99,4.7,1,4.304066693,0.6248,0.62635,-0.00385,115,106.3,118.5,104.8
Indiv_158,7060.869565,11234.78261,102,4.7,1,4.299632077,0.62465,0.6246,0.0023,97.4,99.3,123,92.8
Indiv_159,7060.869565,10191.30435,102,4.7,1,4.291137904,0.62495,0.6186,0.01195,90.1,92.8,103,87.3
Indiv_160,7060.869565,9147.826087,77,4.65,0.989361702,4.289320383,0.6208,0.6102,0.0219,77.4,79.2,87.2,65.9
Indiv_161,7060.869565,8104.347826,75,4.65,0.989361702,4.274338681,0.62315,0.6153,0.0187,67,75.9,76.7,62.5
