"NH_Index","NH_ID","X","Y","N","A","Ap","Ar","Hs","Ho","FIS","HWE_p","HetEx_p","HomEx_p","NS_ex0.10","NS_ex0.05","NS_ex0.02","NS_ex0.00"
173,"Indiv173",8104.347826,20626.08696,110,4.65,0.9894,4.3255,0.6211,0.6223,-0.0046,0.4182,0.2062,0.2536,77.3,77.9,74,83.7
174,"Indiv174",8104.347826,19582.6087,102,4.6,0.9787,4.3036,0.6214,0.6181,0.0015,0.4463,0.2364,0.2112,75.7,75.5,72.1,79.4
175,"Indiv175",8104.347826,18539.13043,107,4.6,0.9787,4.2909,0.6217,0.6243,-0.0088,0.491,0.1794,0.2518,95.2,91.8,93.6,105.1
176,"Indiv176",8104.347826,17495.65217,145,4.6,0.9787,4.2892,0.6203,0.6269,-0.0158,0.4235,0.1631,0.2021,95.2,98.9,100.3,110.8
177,"Indiv177",8104.347826,16452.17391,127,4.6,0.9787,4.2844,0.6221,0.6197,-2e-04,0.4362,0.1848,0.2282,107.4,112.5,116.6,125.1
178,"Indiv178",8104.347826,15408.69565,130,4.6,0.9787,4.2712,0.6236,0.6254,-0.0067,0.3959,0.2078,0.1931,115.2,115.1,116.8,126.9
179,"Indiv179",8104.347826,14365.21739,118,4.6,0.9787,4.2579,0.6235,0.625,-0.0025,0.4564,0.2044,0.2777,110.4,117.1,128.1,140
180,"Indiv180",8104.347826,13321.73913,112,4.65,0.9894,4.2517,0.6234,0.6192,0.0052,0.4487,0.2266,0.3137,122.4,109.6,110.1,129.9
181,"Indiv181",8104.347826,12278.26087,112,4.7,1,4.2961,0.6288,0.6321,-0.005,0.3927,0.23,0.2723,118,109.6,106.6,111.1
182,"Indiv182",8104.347826,11234.78261,109,4.7,1,4.3079,0.6283,0.628,0.0022,0.4383,0.1957,0.3251,120.5,115.2,110.2,108.3
183,"Indiv183",8104.347826,10191.30435,118,4.7,1,4.3079,0.6278,0.6288,0.0014,0.3908,0.1667,0.3582,130.4,114.6,111.3,109.9
184,"Indiv184",8104.347826,9147.826087,76,4.6,0.9787,4.2435,0.621,0.6197,0.0089,0.4478,0.1577,0.3211,146.6,119.4,107.8,110
